Category;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
F.    Other Land;514;419;366;357;348;339;507;506;505;504;503;502;505;509;512;515;519;522;526;530;533
G.    Harvested Wood Products;-3,122;-1,889;-3,461;-3,803;-5,045;-4,755;-1,126;-2,452;-2,687;-2,055;-1,138;-1,372;-1,254;-1,137;-1,719;-1,969;-1,462;-122;-1,889;-1,992;-678
H.    Other;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
5.  Waste;4,367;3,277;3,041;2,906;2,762;2,636;2,449;2,289;2,143;2,016;1,873;1,747;1,644;1,546;1,457;1,381;1,329;1,278;1,23;1,174;1,129
A.   Solid Waste Disposal on Land;4,081;2,987;2,73;2,591;2,446;2,322;2,138;1,978;1,831;1,701;1,566;1,435;1,328;1,221;1,135;1,06;1,003;950;898;846;799
B.   Biological Treatment of Solid Waste;35;81;116;123;128;129;130;134;136;140;132;138;141;146;144;144;148;150;153;149;149
C.   Incineration and Open Burning of Waste;29;13;13;11;08.Mai;06.Apr;04.Mär;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb;02.Feb
D.   Waste Water Treat- ment and Discharge;223;196;182;181;179;178;176;175;174;173;172;171;173;176;176;175;176;176;176;177;178
E.   Other;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
6.  Other (please specify);NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
