"Header & Timestamp";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68"
"2014-03";"66619,141";"1070023,036";"0,922";"167,3";"755021,802";"241077,384";"119573,618";"164495,013";"26584";"36764,019";"1343683,136";"1330924,028";"1620323,833";"1010678,321";"4097275,039";"5774327,019";"4956046,232";"5371411,792";"1268244,3";"1880,784";"1517905,295";"104856,746";"303,1";"0";"120876,581";"3002620,248";"3014066,806";"5331521,912";"31189,391";"3274057,098";"4987235,623";"277667,148";"5264902,771";"442805,107";"1968737,519";"1049052,801";"3017790,32";"206478,091";"163099,22";"58334,751";"496210,568";"924122,63";"253757,823";"117948,19";"57263,514";"1353092,157";"347086,664";"59662,33";"63,881";"406812,875";"4788207,618";"10512,266";"5572957,103";"153310,604";"289376,025";"6015643,732";"3014066,806";"1343683,136";"442947,556";"6458591,288";"526810,7";"200015,685";"13,74";"50316,179";"3412,219";"348413,686";"38374,48";"1815429,006"
"2014-04";"62881,144";"875146,497";"0,934";"219,2";"314117,054";"250667,304";"280917,054";"95372,019";"25771";"156842,21";"1123905,841";"1118356,995";"1990286,938";"1082214,977";"4356644,75";"5266477,582";"4506805,021";"5470349,112";"1017952,9";"48254,697";"926466,978";"13188,532";"7430,34";"0";"20024,133";"2025299,891";"2033317,58";"4844429,902";"23261,644";"3274057,098";"4530066,665";"251482,093";"4781548,758";"422047,68";"2502678,877";"1138720,299";"3641399,176";"151347,452";"164448,543";"46562,473";"314645,748";"677004,216";"244872,574";"101627,74";"61687,191";"1085191,721";"269276,722";"61908,54";"53,409";"331238,671";"5059831,097";"2001,529";"5142941,251";"139779,007";"264117,707";"5546837,965";"2033317,58";"1123905,841";"422404,871";"5969242,836";"548773,958";"194002,229";"8,152";"47156,377";"3705,816";"512391,939";"56505,322";"1836139,794"
"2014-05";"79275,752";"1073946,1";"1,022";"31615,7";"332176,29";"583168,165";"358417,732";"102213,584";"26464";"147524,507";"1581579,978";"1570287,729";"2744656,919";"1355038,913";"5626732,196";"5286989,804";"4482179,654";"5764662,822";"612476,1";"40468,009";"538199,929";"2673,694";"4676,929";"1";"38178,551";"1228030,709";"1236674,212";"4835414,39";"27162,926";"3274057,098";"4509342,58";"246796,058";"4756138,638";"451575,414";"3396784,95";"1426933,571";"4823718,521";"48823,44";"166765,644";"55830,402";"321006,913";"592426,399";"239795,759";"105782,836";"68140,553";"1006145,547";"454332,908";"72372,608";"35,171";"526740,687";"6367167,415";"10562,66";"5153171,479";"162148,596";"254751,234";"5570071,309";"1236674,212";"1581579,978";"452190,34";"6022261,649";"570737,216";"189185,16";"15,665";"47380,463";"3214,471";"652128,031";"71894,658";"1874418,054"
"2014-06";"67149,089";"1760202,942";"0,866";"38998,8";"269289,721";"301503,378";"286700,058";"101934,637";"24899";"402471,48";"1425797,074";"1419373,549";"2332954,262";"1319209,727";"4755570,931";"5079207,538";"4282864,603";"6032697,173";"846409,2";"43090,017";"843019,068";"7241,35";"8430,92";"0";"57,235";"1738817,248";"1748247,79";"4621740,257";"20678,736";"3274057,098";"4303543,339";"251047,829";"4554591,168";"457467,281";"2905874,078";"1382326,382";"4288200,46";"26763,826";"160668,833";"51978,339";"239773,598";"479184,596";"248446,863";"102357,764";"71048,311";"901037,534";"191958,535";"89535,277";"26,305";"281520,117";"5481066,6";"10308,489";"4941546,996";"142749,365";"261145,689";"5345442,05";"1748247,79";"1425797,074";"458075,266";"5803517,316";"592700,474";"200290,072";"9,907";"45443,616";"2703,268";"572919,816";"63116,655";"1932299,942"
"2014-07";"66211,328";"2405454,928";"0,92";"71223,1";"81985,878";"371090,991";"155589,71";"166899,987";"26595";"456718,865";"1330103,531";"1323186,503";"2352195,593";"1454282,221";"4953498,798";"5258164,579";"4517701,566";"6244149,785";"751254,5";"167928,611";"663448,141";"48744,968";"973,889";"0";"2,212";"1624259,276";"1632352,321";"4869996,746";"18460,119";"3274057,098";"4536161,685";"267623,733";"4803785,418";"388167,833";"2876991,401";"1512079,141";"4389070,542";"50827,898";"166019,548";"56956,741";"197429,774";"471233,961";"267804,179";"107382,756";"80990,155";"927411,051";"260423,151";"81946,442";"14,238";"342383,831";"5674399,424";"15534";"5168639,721";"141194,129";"277957,854";"5587791,704";"1632352,321";"1330103,531";"388856,51";"5976648,214";"614663,732";"217212,415";"10,1";"47804,262";"2777,402";"524795,808";"57796,92";"1997415,074"
"2014-08";"74635,246";"2601171,314";"1,103";"83127,3";"161370,26";"641603,04";"252570,014";"153634,691";"26519";"386557,994";"1705382,299";"1699306,849";"2566999,178";"1639894,714";"5385267,932";"5041348,064";"4315177,666";"6292824,883";"694942,7";"170295,723";"476898,49";"13652,858";"1604,962";"0";"2481,306";"1351431,546";"1359876,039";"4668430,42";"21310,083";"3274057,098";"4336487,749";"257307,425";"4593795,174";"372917,644";"3152962,308";"1704469,162";"4857431,47";"107054,877";"175978,774";"46492,035";"133175,537";"462701,223";"257837,63";"96720,121";"75170,013";"892428,987";"242060,821";"72333,405";"16,014";"314410,24";"6081559,68";"17288,983";"4944399,153";"150353,031";"267877,36";"5362629,544";"1359876,039";"1705382,299";"373423,876";"5736053,42";"636626,99";"207593,226";"8,03";"47642,044";"2594,33";"585963,13";"64574,448";"2054965,949"
"2014-09";"74008,748";"2502074,564";"1,314";"33405,1";"593645,272";"453601,747";"251338,25";"161142,989";"25746";"308864,29";"1827743,648";"1815588,698";"2448847,566";"1429187,532";"5381742,026";"5199279,044";"4501993,176";"6173691,861";"798224";"31842,426";"792898,463";"6247,238";"81,152";"0";"7672,797";"1629103,913";"1636966,076";"4858870,178";"24626,027";"3274057,098";"4526619,203";"258242,227";"4784861,43";"340408,866";"3030868,671";"1493414,971";"4524283,642";"331921,941";"157301,782";"27103,962";"269838,446";"786166,131";"248594,832";"97197,435";"61231,359";"1193189,757";"297947,53";"58744,019";"7,513";"356699,062";"6079139,575";"4967,114";"5125378,798";"151246,612";"270922,991";"5547548,401";"1636966,076";"1827743,648";"340813,602";"5888362,003";"658590,248";"199232,059";"5,29";"46786,686";"2570,797";"582021,105";"64227,439";"2072760,428"
"2014-10";"75610,671";"2391728,137";"1,158";"473";"667183,348";"249967,642";"259563,328";"162018,152";"26616";"362361,7";"1728183,17";"1722840,654";"1874432,673";"1110523,607";"4633639,584";"5720001,174";"4791390,61";"5942195,305";"1351404,5";"16616,412";"1435677,971";"7593,36";"43,117";"0";"4023,265";"2804955,952";"2815358,625";"5187325,41";"34815,556";"3274057,098";"4826206,166";"285508,573";"5111714,739";"532675,764";"2299390,577";"1157444,042";"3456834,619";"482171,616";"185674,77";"22950,537";"427952,275";"1118749,198";"265122,01";"88423,544";"58338,569";"1530633,321";"267114,851";"51026,491";"2,683";"318144,025";"5315431,19";"9819,225";"5408072,738";"164634,687";"296961,687";"5869669,112";"2815358,625";"1728183,17";"532937,533";"6402606,645";"680553,506";"212281,719";"5,936";"49671,685";"3162,67";"424957,904";"46920,435";"2093992,824"
"2014-11";"81438,005";"2241545,484";"1,32";"3041";"500846,883";"288379,591";"252526,28";"137195,087";"3946";"417299,144";"1603233,985";"1598763,772";"1941669,838";"1144327,678";"5148605,702";"5736162,002";"4799799,438";"5595468,448";"973481,5";"1907,443";"1198930,48";"10655,73";"1655,836";"0";"4922,034";"2183011,39";"2191553,023";"5203261,244";"37966,804";"3274057,098";"4837766,242";"284056,997";"5121823,239";"532900,758";"2414400,309";"1196477,635";"3610877,944";"486324,362";"167458,31";"59335,006";"592610,867";"1305728,545";"264460,892";"92054,359";"58288,455";"1720532,251";"400779,567";"27357,923";"29,215";"428166,705";"5785949,041";"26372,141";"5374086,218";"172686,758";"294360,42";"5841133,396";"2191553,023";"1603233,985";"533134,683";"6374268,079";"702516,764";"212230,528";"7,072";"49341,576";"2881,716";"472730,471";"52149,957";"2098916,822"
"2014-12";"79708,01";"1791734,318";"0,997";"2380,9";"634491,354";"260886,246";"200778,736";"127232,646";"26659";"292772,795";"1545201,677";"1539706,893";"1522606,097";"1143165,198";"4865563,012";"6146330,571";"5181104,134";"5329886,66";"1146750,6";"2969,094";"1623034,172";"37322,266";"2044,277";"0";"13886,434";"2814019,188";"2826006,843";"5605503,675";"40648,798";"3274057,098";"5221752,932";"304042,733";"5525795,665";"540826,896";"1870714,216";"1181554,536";"3052268,752";"364034,396";"152047,505";"65211,098";"888882,174";"1470175,173";"267760,959";"105238,273";"62697,875";"1905872,28";"491384,094";"23347,87";"22,909";"514754,873";"5489162,662";"16266,757";"5740272,147";"173969,511";"314812,237";"6229053,895";"2826006,843";"1545201,677";"540913,933";"6769967,828";"724480";"212170,121";"11,727";"52383,907";"3195,204";"348108,119";"38389,338";"2110274,58"
"2015-01";"90298,674";"1425313,581";"1,304";"43,4";"834998,763";"278811,838";"270806,03";"162976,164";"26610";"390663,873";"1964910,068";"1955206,052";"1905444,758";"1022712,422";"5260425,801";"6315410,006";"5385034,669";"5039037,922";"1250502,7";"4100,148";"1735153,025";"20148,41";"558,184";"0";"7885,629";"3010190,257";"3018348,096";"5839891,121";"38927,891";"3274057,098";"5423962,561";"325629,887";"5749592,447";"475518,885";"2264078,028";"1060857,539";"3324935,567";"398690,761";"158066,935";"95728,642";"922709,027";"1575195,365";"264895,91";"107399,836";"73738,751";"2021229,862";"542388,511";"29964,85";"5,07";"572358,431";"5924249,062";"5725,202";"5971115,278";"195288,776";"335764,151";"6502168,205";"3018348,096";"1964910,068";"475518,885";"6977687,09";"739918";"210224,711";"9,596";"51428,331";"3233,272";"358633,27";"38145,117";"2148377,201"
"2015-02";"80730,904";"985896,97";"0,89";"0";"762888,022";"198351,743";"149287,226";"147123,286";"24017";"226013,819";"1507681,096";"1492128,754";"1236182,358";"885290,567";"4261021,924";"5709992,744";"4986000,588";"4600406,073";"1259691,8";"768,754";"1635202,807";"40824,968";"129,731";"0";"9342,092";"2941099,574";"2945960,152";"5391218,893";"32370,581";"3274057,098";"5018371,17";"292116,82";"5310487,989";"318773,851";"1475039,037";"910413,026";"2385452,063";"511810,679";"150105,177";"190905,026";"741741,301";"1594562,183";"252609,434";"100062,329";"64822,11";"2012056,056";"450535,459";"49962,324";"1,135";"500498,918";"4901213,992";"3206,955";"5542296,24";"175657,392";"302765,565";"6020719,197";"2945960,152";"1507681,096";"318773,851";"6339493,048";"752171";"202868,901";"18,515";"46816,675";"2905,343";"238856,679";"25122,459";"2162275,399"
"2015-03";"76186,169";"675220,449";"0,899";"622,4";"816024,511";"249503,588";"89136,238";"152070,244";"26395";"179880,714";"1513632,695";"1492719,292";"1552944,71";"858766,025";"4546889,992";"5963428,512";"5157490,687";"4247053,772";"1121712,1";"3164,599";"1652541,117";"110574,702";"2834,76";"0";"25304,336";"2909257,812";"2916131,614";"5564035,386";"36043,237";"3274057,098";"5193533,924";"294315,293";"5487849,217";"399393,126";"1847176,54";"889665,694";"2736842,234";"456299,725";"182562,148";"60083,306";"789339,636";"1488284,815";"270472,613";"93882,121";"61461,048";"1914100,597";"511797,488";"75165,364";"14,432";"586977,284";"5241146,313";"3226,198";"5763018,612";"174092,965";"307140,529";"6244252,106";"2916131,614";"1513632,695";"399393,126";"6643645,232";"768194";"216148,468";"5,193";"51096,743";"3222,209";"294231,83";"30899,669";"2219971,208"
"2015-04";"60871,868";"567578,665";"1,028";"2632,6";"769769,829";"279728,807";"161755,878";"119334,047";"24748";"333143,102";"1691112,263";"1668567,593";"2192653,646";"891770,754";"4906460,898";"5262903,56";"4552589,269";"4100968,61";"707801,4";"2451,626";"1249211,745";"64092,94";"4878,525";"0";"4747,734";"2025010,255";"2033183,97";"4897941,261";"36537,311";"3274057,098";"4589126,579";"247942,813";"4837069,393";"364962,299";"2682150,378";"944574,757";"3626725,135";"280942,339";"193504,4";"43603,096";"452053,014";"970102,849";"262020,468";"86533,106";"66021,97";"1384678,393";"526504,222";"105638,359";"6,386";"632148,967";"5645198,216";"1645,721";"5206388,101";"157057,597";"258861,926";"5622307,624";"2033183,97";"1691112,263";"364962,299";"5987269,923";"777742";"210122,039";"5,186";"48885,474";"3007,769";"489496,732";"52804,003";"2232162,61"
"2015-05";"51351,711";"1092580,716";"1,07";"22751,9";"332567,633";"426320,952";"379196,194";"107917,389";"26489";"562866,066";"1858109,134";"1842827,408";"2896615,921";"1258882,534";"5561374,119";"5233393,237";"4420131,807";"4069191,902";"775509,1";"28238,832";"705563,499";"10839,152";"8154,573";"0";"122,84";"1514846,526";"1528427,996";"4767424,479";"39081,207";"3274057,098";"4459213,013";"256859,754";"4716072,768";"465968,758";"3557132,349";"1331562,85";"4888695,199";"40733,917";"206698,778";"53378,965";"193109,075";"493920,735";"271432,407";"87641,945";"83687,311";"936682,398";"402252,532";"92801,764";"2,039";"495056,335";"6323471,82";"3037,888";"5105350,575";"154835,664";"267635,685";"5527821,924";"1528427,996";"1858109,134";"465968,758";"5993790,682";"784823";"218364,746";"11,643";"50078,559";"2977,459";"660516,428";"72680,316";"2238239,008"
"2015-06";"49484,119";"1783358,725";"0,974";"11486,8";"410250,445";"363649,661";"291266,254";"99854,255";"25507,4";"441583,467";"1643598,282";"1629980,743";"2624205,849";"1511948,921";"5251195,438";"5146136,097";"4418001,574";"4072984,88";"737490,4";"17129,15";"762371,774";"17634,02";"1824,742";"0";"800,772";"1524921,402";"1537250,858";"4757671,2";"35188,595";"3274057,098";"4453190,168";"254996,912";"4708187,081";"388464,897";"3203842,099";"1576033,967";"4779876,066";"28197,489";"155216,6";"50446,625";"133090,424";"366951,138";"248368,464";"80074,505";"82365,362";"777759,469";"256799,906";"113795,275";"0,098";"370595,279";"5931779,19";"3548,376";"5022036,286";"147318,451";"267612,132";"5436966,869";"1537250,858";"1643598,282";"388464,897";"5825431,766";"795440";"198776,118";"5,523";"46892,445";"2694,378";"579636,25";"64085,046";"2268209,537"
"2015-07";"48492,856";"2262745,312";"0,768";"0";"290523,853";"328048,035";"152306,802";"125770,292";"26335,8";"411381,873";"1334366,655";"1321222,812";"1997762,114";"1442707,416";"4610663,478";"5332958,079";"4586049,057";"4167370,214";"977339,9";"54892,016";"929791,35";"86936,518";"3141,167";"0";"5,469";"2043517,413";"2052106,42";"4930067,44";"31725,329";"3274057,098";"4617774,385";"263800,198";"4881574,584";"402890,639";"2448004,859";"1492137,385";"3940142,244";"18772,592";"176596,329";"53480,938";"363982,187";"612832,046";"255643,835";"97647,126";"79081,854";"1045204,861";"244549,784";"125822,255";"8,565";"370380,604";"5360175,122";"4447,413";"5249842,658";"147592,775";"277588,815";"5675024,248";"2052106,42";"1334366,655";"402890,639";"6077914,887";"810210";"205491,198";"5,535";"47477,672";"2669,43";"450242,745";"49429,969";"2268211,569"
"2015-08";"47013,123";"2417316,835";"0,759";"0";"337236,255";"302156,278";"269272,342";"87553,036";"26433";"444392,061";"1467042,972";"1457830,764";"1797705,437";"1359867,592";"4300553,84";"5105929,914";"4424064,105";"4252655,656";"1235513,603";"36457,675";"963516,963";"28340,588";"7721,863";"0";"1,104";"2263206,838";"2271551,796";"4753036,283";"31695,595";"3274057,098";"4455759,7";"250263,46";"4706023,16";"352893,631";"2217128,827";"1405686,95";"3622815,777";"14693,055";"177902,089";"49913,707";"362191,188";"604700,039";"246957,495";"98977,113";"73041,921";"1023676,568";"259871,853";"120022,245";"8,274";"379902,372";"5030879,906";"4485,189";"5072990,553";"145312,22";"264192,326";"5482495,099";"2271551,796";"1467042,972";"352893,631";"5835388,73";"817343";"196759,746";"5,567";"47460,554";"2731,628";"419423,39";"45819,358";"2268211,569"
"2015-09";"49542,124";"2380141,829";"0,811";"181,4";"463892,284";"210620,565";"247984,618";"119853,399";"25513";"395409,037";"1463454,303";"1451911,404";"1570230,77";"1148542,567";"4388287,748";"5290083,67";"4541386,452";"4204122,963";"1004506,7";"21869,797";"1311118,86";"20257,21";"2335,401";"0";"212,792";"2353707,326";"2360300,76";"4873119,991";"35396,875";"3274057,098";"4576783,327";"246794,54";"4823577,867";"416963,679";"1949572,315";"1189836,969";"3139409,284";"156249,478";"163663,059";"44292,073";"518911,946";"883116,556";"261699,123";"94856,601";"69939,404";"1309611,684";"536140,774";"76378,733";"7,037";"612526,544";"5064772,261";"3224,749";"5133926,551";"151668,147";"259060,341";"5544655,039";"2360300,76";"1463454,303";"416963,679";"5961618,718";"826548";"211221,013";"5,43";"47877,191";"2595,489";"379341,545";"41294,402";"2312812,796"
"2015-10";"74892,928";"2011310,098";"0,989";"2995,5";"561025,447";"265361,196";"239220,524";"146688,248";"25941,5";"417289,242";"1658521,657";"1637117,328";"1689397,416";"1218118,62";"4960409,754";"5562582,029";"4856733,327";"3895522,495";"936206,7";"14631,617";"1260584,903";"24727,096";"1442,756";"0,3";"6210,458";"2239289,603";"2243803,83";"5237753,201";"33099,251";"3274057,098";"4889832,578";"273027,695";"5162860,273";"324828,828";"2114821,328";"1263905,415";"3378726,743";"379716,447";"169115,137";"57599,66";"856946,479";"1463377,723";"265718,212";"85299,71";"73548,895";"1887944,54";"343815,859";"57148,462";"6,676";"400970,997";"5670945,845";"3303,565";"5467122,813";"175478,395";"288797,982";"5931399,19";"2243803,83";"1658521,657";"324828,828";"6256228,018";"836323";"213164,508";"5,517";"49891,356";"2656,831";"425423,912";"45786,795";"2322962,138"
"2015-11";"76865,967";"1793917,249";"0,786";"0";"593791,631";"187422,957";"215219,994";"150118,423";"23212,6";"411269,494";"1581035,099";"1558985,617";"1196463,096";"860118,76";"4428526,52";"5793079,963";"4943575,919";"3585361,262";"1007179";"49582,814";"1833064,704";"36500,552";"761,437";"0";"2443,057";"2923539,06";"2929531,564";"5332923,149";"31321,37";"3274057,098";"4974897,289";"281159,893";"5256057,182";"460156,814";"1468351,564";"888867,826";"2357219,39";"353802,274";"182553,324";"54595,786";"1217229,249";"1808180,633";"269740,559";"102193,901";"65591,959";"2245707,052";"494882,256";"49292,517";"1,333";"544176,106";"5149542,677";"2440,129";"5568336,73";"175524,259";"294021,339";"6037882,328";"2929531,564";"1581035,099";"460156,814";"6498039,142";"851595";"217565,331";"6,659";"49487,645";"2680,924";"271888,468";"28749,066";"2452864,572"
"2015-12";"76384,799";"1645147,914";"0,795";"0";"632361,649";"170633,46";"178906,228";"114210,379";"26054,7";"522016,556";"1644182,972";"1622411,917";"1244880,588";"768403,448";"4155233,829";"6080480,006";"5131263,106";"3218540,361";"1327441,7";"36583,132";"2117525,869";"64614,38";"5924,076";"0";"476,741";"3547658,094";"3552565,898";"5544620,66";"31407,805";"3274057,098";"5162670,911";"305564,95";"5468235,861";"535859,346";"1489893,354";"794144,397";"2284037,751";"332972,796";"185146,845";"104445,595";"1186818,294";"1809383,53";"268438,865";"114248,927";"82627,803";"2274699,125";"266192,362";"41661,196";"0,266";"307853,824";"4871015,849";"4425,149";"5743769,119";"179793,166";"319977,144";"6243539,429";"3552565,898";"1644182,972";"535859,346";"6779398,775";"872182";"213550,71";"11,58";"52182,654";"2693,921";"245012,766";"25740,949";"2488725,58"
"2016-01";"84291,037";"1402934,907";"0,809";"0,9";"575803,531";"171279,257";"206808,136";"84002,355";"25694,4";"403677,373";"1467265,952";"1444671,175";"1215896,734";"811042,552";"4303657,503";"6385072,407";"5454219,459";"2753802,183";"1333616,1";"55821,274";"2092119,797";"37017,202";"11998,232";"0";"1148,677";"3526086,079";"3531721,282";"5892753,519";"32915,876";"3277784,2";"5487135,334";"321327,147";"5808462,482";"492318,888";"1418116,306";"831384,194";"2249500,5";"345803,275";"173795,328";"104691,277";"1209254,935";"1833544,815";"277562,547";"116105,443";"90743,525";"2317956,33";"382688,731";"40002,608";"0,378";"422691,717";"4997102,529";"6953,982";"6046377,209";"187214,427";"335647,335";"6569238,971";"3531721,282";"1467265,952";"492318,888";"7061557,859";"892278";"222603,984";"7,337";"52037,194";"2914,032";"202219,572";"20341,642";"2498957,348"
"2016-02";"84464,97";"1110195,159";"1,307";"2192,3";"773260,367";"298430,101";"176808,78";"165728,491";"24383,4";"176823,624";"1617627,063";"1594142,618";"1809842,643";"837523,287";"4929026,014";"5822483,978";"5016147,962";"2454079,48";"817579,8";"18245,419";"1515935,141";"78356,77";"170,059";"0";"66322,064";"2487600,582";"2496609,253";"5425193,705";"35733,611";"3277784,2";"5051881,573";"288847,162";"5340728,735";"397290,273";"2112287,876";"868049,563";"2980337,439";"290146,09";"166786,323";"172517,827";"831636,122";"1461086,362";"265770,798";"110067,459";"80384,233";"1917308,852";"614315,773";"48764,638";"0,895";"663081,306";"5568185,038";"7457,441";"5565781,089";"184617,176";"299478,69";"6049876,955";"2496609,253";"1617627,063";"397290,273";"6447167,228";"900499";"213890,243";"95,089";"48860,618";"2924,848";"302445,233";"30526,276";"2536026,871"
"2016-03";"78892,741";"723569,12";"0,904";"169,1";"889763,848";"298160,079";"155892,01";"160879,909";"25819";"115238,428";"1645922,374";"1623443,874";"1585592,898";"795418,899";"4478445,29";"5903906,082";"5208755,505";"2215969,18";"1194004,6";"11487,48";"1647308,579";"111794,784";"4272,143";"0";"87282,602";"3048904,666";"3056150,188";"5607199,86";"35179,837";"3277784,2";"5243935,344";"284371,777";"5528307,119";"296706,222";"1878731,6";"824589,077";"2703320,677";"302717,224";"152041,377";"148746,123";"764802,335";"1368307,059";"285492,883";"120325,658";"67875,103";"1842000,703";"516980,67";"85422,852";"0,001";"602403,523";"5154835,156";"7110,253";"5792708,392";"180830,761";"294817,595";"6268356,748";"3056150,188";"1645922,374";"296706,222";"6565062,97";"908761";"229274,994";"12,855";"53058,205";"3146,829";"293138,702";"29170,178";"2536027,836"
"2016-04";"59336,947";"603373,684";"0,956";"6333,4";"476306,394";"230201,566";"422048,89";"139557,521";"25016,7";"412613,556";"1712078,027";"1689840,075";"2054190,346";"888155,426";"4787290,256";"5199190,498";"4594928,289";"2181009,619";"992330,6";"48648,364";"1050939,174";"8452,538";"7210,632";"0";"3555,399";"2101740,317";"2111136,707";"4934317,349";"34860,344";"3277784,2";"4629788,632";"245191,769";"4874980,402";"264873,149";"2572824,008";"941587,233";"3514411,241";"141135,553";"131428,518";"17128,21";"603134,822";"892827,103";"259226,898";"108562,569";"86168,049";"1346784,619";"488108,862";"108927,616";"0,007";"597036,485";"5460963,239";"2730,894";"5182844,267";"156647,119";"255657,384";"5595148,77";"2111136,707";"1712078,027";"264873,149";"5860021,919";"921096";"204953,489";"158,759";"51029,658";"3084,992";"518633,662";"53431,807";"2543750,653"
"2016-05";"46466,934";"866411,481";"0,938";"32645,1";"459461,292";"306532,044";"444580,032";"120424,675";"25966,5";"358445,477";"1748055,12";"1735649,416";"2532907,213";"1090393,781";"5124488,888";"5154235,122";"4459361,543";"2314964,414";"757498,2";"17088,63";"984746,096";"5791,03";"7872,802";"0";"4838,297";"1765395,65";"1777835,055";"4785192,901";"38808,066";"3277784,2";"4498169,609";"240556,358";"4738725,967";"369042,221";"3154300,104";"1154550,895";"4308850,999";"20175,792";"179311,314";"45236,524";"248165,553";"492889,183";"270552,58";"120456,008";"84755,691";"968653,462";"493583,429";"122994,709";"4,844";"616582,982";"5897698,595";"3611,152";"5155432,225";"152735,306";"250268,778";"5558436,309";"1777835,055";"1748055,12";"369042,221";"5927478,53";"936026";"216479,526";"57,652";"50951,027";"3064,375";"621392,891";"64157,114";"2574933,458"
"2016-06";"51380,943";"1747592,304";"1,073";"48207,8";"265883,029";"458201,373";"281590,714";"141766,744";"22890,5";"269169,532";"1487709,692";"1476110,807";"2864879,075";"1506563,482";"5605391,664";"5061673,688";"4448100,834";"2470651,289";"355161,7";"57860,233";"509183,468";"8330,01";"2710,154";"0";"10737,883";"932392,831";"943983,448";"4781846,294";"41301,773";"3277784,2";"4489402,608";"241062,744";"4730465,351";"279827,394";"3532283,556";"1575794,165";"5108077,721";"21575,772";"188682,297";"54633,276";"196656,547";"461547,892";"257522,154";"121891,023";"82063,288";"923024,357";"230221,71";"131446,539";"0,666";"361668,915";"6397118,98";"4347,987";"5160204,908";"159943,551";"253416,883";"5573565,342";"943983,448";"1487709,692";"279827,394";"5853392,736";"951778";"206142,039";"60,367";"48399,082";"2920,666";"667404,481";"69230,683";"2579377,939"
"2016-07";"49799,508";"2218145,326";"1,086";"8742,2";"530604,425";"515088,796";"243838,34";"180599,729";"25872,6";"459210,269";"1963956,359";"1949941,886";"2785458,277";"1539732,962";"5690963,206";"5048524,401";"4465340,699";"2598560,084";"644404,8";"10802,199";"626831,104";"38031,642";"65,774";"1,8";"1081,792";"1307503,081";"1321219,111";"4807493,178";"42661,443";"3277784,2";"4508002,142";"249691,528";"4757693,67";"241031,223";"3431838,442";"1606712,751";"5038551,193";"17141,86";"188234,059";"56188,89";"207929,803";"469494,612";"259900,271";"113748";"83965,952";"927108,835";"368838,892";"140480,696";"0,039";"509319,627";"6480890,449";"5910,794";"5172512,285";"162480,83";"262128,863";"5597121,978";"1321219,111";"1963956,359";"241031,223";"5838153,201";"964386";"206478,435";"60,223";"50592,745";"2768,868";"646380,165";"66979,789";"2597912,7"
"2016-08";"49035,294";"2499662,824";"1,099";"22431";"641569,614";"363832,495";"310539,248";"125929,434";"19824,5";"327702,606";"1811828,897";"1791915,403";"2570729,459";"1380080,899";"5249728,195";"5066821,498";"4418790,687";"2658612,607";"640544,6";"5121,545";"947449,309";"12411,754";"3821,911";"0,1";"9186,299";"1609008,706";"1618535,518";"4742936,76";"37457,581";"3277784,2";"4456248,267";"237653,198";"4693901,466";"323884,738";"3195406,14";"1444839,791";"4640245,931";"20440,838";"150277,606";"56840,308";"170208,964";"397767,716";"263525,08";"118151,848";"84154,228";"863598,872";"346635,936";"134858,072";"1,403";"481495,411";"5990008,159";"4667,945";"5069974,269";"153516,028";"249339,745";"5472830,042";"1618535,518";"1811828,897";"323884,738";"5796714,78";"976082";"210592,377";"60,201";"50101,077";"2771,425";"624676,681";"64758,892";"2653709,089"
"2016-09";"46637,698";"2387808,524";"0,985";"5981,2";"542267,574";"243322,619";"194403,622";"29806,975";"21777,6";"357996,842";"1395556,432";"1376056,058";"1912215,205";"1110680,778";"4413010,715";"5190833,081";"4540957,375";"2789618,278";"783322,5";"22657,88";"1326891,762";"24760,874";"2094,336";"0";"2196,467";"2153878,424";"2161923,819";"4858644,228";"33283,392";"3277784,2";"4574240,767";"237765,763";"4812006,53";"332188,853";"2367631,441";"1157565,467";"3525196,908";"19330,671";"136194,038";"52548,712";"585230,667";"793304,088";"263591,247";"114402,499";"72775,103";"1244072,937";"217032,234";"118538,018";"7,397";"335577,649";"5111467,064";"6619,57";"5149089,549";"147036,185";"249519,864";"5545645,598";"2161923,819";"1395556,432";"332188,853";"5877834,451";"991836";"210881,156";"60,175";"49825,225";"2824,691";"455416,236";"46884,689";"2667388,129"
