Gesamte Elektrizitätsversorgung in Österreich;;;;;;;;;;;;;;;;;;;
inkl. Abschätzung von Verbrauch bzw. Erzeugung von Klein(st)anlagen;;;;;;;;;;;;;;;;;;;
Brutto-Stromerzeugung nach Energieträgern 2023;;;;;;;;;;;;;;;;;;;
(Datenstand: Mai 2024);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Monat;WASSERKRAFTWERKE (1);;;WÄRMEKRAFTWERKE (1);;;;;;;;;;"Wind-
kraftwerke";"Photo-
voltaik
(5)";"Geo-
thermie";"Summe
Wind-
kraftwerke, 
Photovoltaik,
Geothermie";"Sonstige Erzeugung (Statistische Differenz)
(6)";Gesamt
;"Laufkraft-
werke";"Speicher-
kraftwerke";"Summe
Wasser-
kraft";Fossile Brennstoffe und Derivate;;;;;"Summe
Fossile
Brennstoffe
und Derivate";"Biogene
Brenn-
stoffe (3)";"Sonstige
Biogene
(4)";Sonstige Brennstoffe;Summe Wärmekraft-werke;;;;;;
;;;;"Stein-
Jahr;3 989,3  ;1 571,8  ;5 561,0  ;-40,2  ;0,0  ;2,8  ;95,1  ;-3 438,4  ;-3 380,7  ;-76,5  ;-73,6  ;-12,0  ;-3 542,8  ;780,8  ;1 859,1  ;0,0  ;2 639,9  ;0,0  ;4 658,2  
;;;;;;;;;;;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;
Einheit;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh
Jänner;1 913,6  ;1 092,3  ;3 006,0  ;6,2  ;0,0  ;167,5  ;58,5  ;1 697,3  ;1 929,6  ;277,4  ;118,1  ;71,9  ;2 397,0  ;1 066,7  ;117,2  ;0,0  ;1 183,9  ;0,0  ;6 586,8  
Februar;1 697,4  ;749,0  ;2 446,4  ;3,6  ;0,0  ;148,7  ;52,9  ;1 360,6  ;1 565,7  ;260,2  ;107,5  ;68,9  ;2 002,3  ;1 019,8  ;180,4  ;0,0  ;1 200,2  ;0,0  ;5 648,9  
März;1 718,0  ;1 080,2  ;2 798,2  ;6,2  ;0,0  ;172,8  ;61,3  ;1 567,7  ;1 808,0  ;291,7  ;123,7  ;64,0  ;2 287,5  ;543,2  ;326,6  ;0,0  ;869,8  ;0,0  ;5 955,5  
April;2 383,1  ;1 082,1  ;3 465,2  ;6,1  ;0,0  ;165,9  ;43,7  ;800,4  ;1 016,0  ;270,9  ;124,3  ;63,0  ;1 474,1  ;737,3  ;302,8  ;0,0  ;1 040,1  ;0,0  ;5 979,5  
Mai;3 116,7  ;1 275,6  ;4 392,4  ;6,3  ;0,0  ;159,3  ;19,4  ;592,5  ;777,5  ;278,7  ;107,3  ;74,9  ;1 238,3  ;388,9  ;377,4  ;0,0  ;766,2  ;0,0  ;6 396,9  
Juni;2 843,6  ;1 451,6  ;4 295,2  ;4,8  ;0,0  ;174,8  ;32,8  ;258,5  ;470,9  ;243,9  ;115,3  ;69,6  ;899,8  ;486,6  ;411,5  ;0,0  ;898,0  ;0,0  ;6 093,0  
Juli;2 278,6  ;1 160,4  ;3 439,1  ;5,5  ;0,0  ;171,0  ;49,7  ;287,0  ;513,2  ;261,6  ;125,4  ;61,9  ;962,1  ;521,5  ;432,0  ;0,0  ;953,5  ;0,0  ;5 354,7  
August;1 928,1  ;1 245,4  ;3 173,5  ;6,7  ;0,0  ;159,7  ;57,1  ;274,4  ;497,8  ;244,8  ;123,2  ;68,9  ;934,7  ;447,6  ;378,7  ;0,0  ;826,3  ;0,0  ;4 934,6  
September;2 156,2  ;1 179,1  ;3 335,3  ;7,2  ;0,0  ;146,1  ;51,7  ;716,8  ;921,8  ;257,1  ;112,4  ;64,1  ;1 355,4  ;448,7  ;279,4  ;0,0  ;728,1  ;0,0  ;5 418,8  
Oktober;2 223,6  ;1 054,7  ;3 278,3  ;4,4  ;0,0  ;156,2  ;40,7  ;777,9  ;979,2  ;281,1  ;117,4  ;68,9  ;1 446,5  ;467,2  ;258,4  ;0,0  ;725,6  ;0,0  ;5 450,4  
November;1 702,7  ;958,1  ;2 660,8  ;6,3  ;0,0  ;141,7  ;74,9  ;1 269,9  ;1 492,8  ;275,7  ;117,5  ;75,4  ;1 961,5  ;456,9  ;148,0  ;0,0  ;604,8  ;0,0  ;5 227,1  
Dezember;1 699,5  ;953,8  ;2 653,4  ;5,5  ;0,0  ;146,1  ;82,8  ;1 394,0  ;1 628,3  ;279,7  ;118,6  ;74,0  ;2 100,6  ;670,8  ;116,6  ;0,0  ;787,5  ;0,0  ;5 541,5  
Jahr;25 661,3  ;13 282,5  ;38 943,7  ;68,7  ;0,0  ;1 909,8  ;625,4  ;10 997,0  ;13 600,9  ;3 223,0  ;1 410,6  ;825,3  ;19 059,8  ;7 255,1  ;3 329,0  ;0,0  ;10 584,1  ;0,0  ;68 587,7  
Jahr kumm.;25 661,3  ;13 282,5  ;38 943,7  ;68,7  ;0,0  ;1 909,8  ;625,4  ;10 997,0  ;13 600,9  ;3 223,0  ;1 410,6  ;825,3  ;19 059,8  ;7 255,1  ;3 329,0  ;0,0  ;10 584,1  ;0,0  ;68 587,7  
;;;;;;;;;;;;;;;;;;;
(1) Umfasst unterjährig alle Erzeuger, die zumindest ein Kraftwerk betreiben, das direkt an den Netzebenen gemäß § 63 Z 1 bis 3 ElWOG 2010 angeschlossen ist oder das eine Brutto-Engpassleistung von zumindest 10 MW hat. Es werden alle Kraftwerke dieser Erzeuger erfasst. Inklusive berechneter monatlicher nicht erfasste Kleinkraftwerke, die mit der Jahreserhebung neu berechnet werden.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
(2) Derivate fester fossiler Brennstoffe wie Steinkohlebriketts, Koks- und Gichtgas;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
(3) Nur biogene Brennstoffe im Sinne der österreichischen Richtlinien;;;;;;;;;;;;;;;;;;;
" Abweichungen zu anderen Publikationen (österreichische Energiebilanz, internationale Statsitiken) sind infolge unterschiedlicher Definitionen des Begriffs ""Biogener Brennstoff"" durchaus möglich.";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
(4) Biogene Brennstoffe im Sinne der EU-Richtlinien mit Ausnahme (3).;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
(5) Schätzung auf Basis von installierter Leistung sowie meteorolgischen Messdaten;;;;;;;;;;;;;;;;;;;
      https://www.e-control.at/documents/1785851/1811447/ECA_PV_Erzeugung_Methodenbeschreibung2024.pdf;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
(6) Differenz zwischen eingespeister Erzeugung und gemeldeten Einzeldaten - da bei der erneuerbare Erzeugung teilweise auch Standardlastprofile gemeldet werden, kann es zu ;;;;;;;;;;;;;;;;;;;
zeitlichen Verschiebungen und damit zu negativen monatlichen Restmengen kommen.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Quelle: E-Control;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
"Gesamte Elektrizitätsversorgung in Österreich - inkl. Abschätzung von Verbrauch bzw. Erzeugung von Klein(st)anlagen
Brutto-Stromerzeugung nach Energieträgern";;;;;;;;;;;"Gesamte Elektrizitätsversorgung in Österreich - inkl. Abschätzung von Verbrauch bzw. Erzeugung von Klein(st)anlagen
Brutto-Stromerzeugung nach Energieträgern";;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
