STATcube;;;;
;;;;
Versorgungsbilanz für Fleisch nach Arten ab 1994 in Tonnen (Q);;;;
Produkte nach Werte nach Jahr;;;;
Zählt: BRUTTOEIGENERZEUGUNG, Einfuhr lebender Tiere, Ausfuhr lebender Tiere, NETTOERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERBRAUCH, Inlandsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %, Menschlicher Verzehr, Menschlicher Verzehr pro Kopf in kg;;;;
;;;;
Produkte;Werte;Jahr;Anzahl;Anmerkungen
Fleisch insgesamt;Ausfuhr lebender Tiere;2014;31559;
Fleisch insgesamt;Ausfuhr lebender Tiere;2015;27551;
Fleisch insgesamt;Ausfuhr lebender Tiere;2016;29179;
Fleisch insgesamt;Ausfuhr lebender Tiere;2017;29675;
Fleisch insgesamt;Ausfuhr lebender Tiere;2018;27425;
Fleisch insgesamt;NETTOERZEUGUNG;2019;973596;
Fleisch insgesamt;NETTOERZEUGUNG;2020;970545;
Fleisch insgesamt;NETTOERZEUGUNG;2021;970692;
Fleisch insgesamt;NETTOERZEUGUNG;2022;937610;
Fleisch insgesamt;NETTOERZEUGUNG;2023;909447;
Fleisch insgesamt;NETTOERZEUGUNG;1994;828077;
Fleisch insgesamt;NETTOERZEUGUNG;1995;808068;
Fleisch insgesamt;NETTOERZEUGUNG;1996;852147;
Fleisch insgesamt;NETTOERZEUGUNG;1998;861358;
Fleisch insgesamt;NETTOERZEUGUNG;1999;890424;
Fleisch insgesamt;NETTOERZEUGUNG;1997;841700;
Fleisch insgesamt;NETTOERZEUGUNG;2000;879986;
Fleisch insgesamt;NETTOERZEUGUNG;2001;875793;
Fleisch insgesamt;NETTOERZEUGUNG;2002;894394;
Fleisch insgesamt;NETTOERZEUGUNG;2003;900315;
Fleisch insgesamt;NETTOERZEUGUNG;2004;904784;
Fleisch insgesamt;NETTOERZEUGUNG;2006;909785;
Fleisch insgesamt;NETTOERZEUGUNG;2005;897802;
Fleisch insgesamt;NETTOERZEUGUNG;2007;941940;
Fleisch insgesamt;NETTOERZEUGUNG;2008;949286;
Fleisch insgesamt;NETTOERZEUGUNG;2010;971937;
Fleisch insgesamt;NETTOERZEUGUNG;2009;957441;
Fleisch insgesamt;NETTOERZEUGUNG;2011;968715;
Fleisch insgesamt;NETTOERZEUGUNG;2012;951048;
Fleisch insgesamt;NETTOERZEUGUNG;2013;959081;
Fleisch insgesamt;NETTOERZEUGUNG;2014;968022;
Fleisch insgesamt;NETTOERZEUGUNG;2015;979175;
Fleisch insgesamt;NETTOERZEUGUNG;2016;972255;
Fleisch insgesamt;NETTOERZEUGUNG;2017;964160;
Fleisch insgesamt;NETTOERZEUGUNG;2018;976006;
Fleisch insgesamt;Anfangsbestand;2019;-;
Fleisch insgesamt;Anfangsbestand;2020;-;
Fleisch insgesamt;Anfangsbestand;2021;-;
Fleisch insgesamt;Anfangsbestand;2022;-;
Fleisch insgesamt;Anfangsbestand;2023;-;
Fleisch insgesamt;Anfangsbestand;1994;135;
Fleisch insgesamt;Anfangsbestand;1995;-;
Fleisch insgesamt;Anfangsbestand;1996;-;
Fleisch insgesamt;Anfangsbestand;1998;14069;
Fleisch insgesamt;Anfangsbestand;1999;9129;
Fleisch insgesamt;Anfangsbestand;1997;10728;
Fleisch insgesamt;Anfangsbestand;2000;422;
Fleisch insgesamt;Anfangsbestand;2001;167;
Fleisch insgesamt;Anfangsbestand;2002;2749;
Fleisch insgesamt;Anfangsbestand;2003;1158;
Fleisch insgesamt;Anfangsbestand;2004;-;
Fleisch insgesamt;Anfangsbestand;2006;-;
Fleisch insgesamt;Anfangsbestand;2005;-;
Fleisch insgesamt;Anfangsbestand;2007;-;
Fleisch insgesamt;Anfangsbestand;2008;3000;
Fleisch insgesamt;Anfangsbestand;2010;-;
Fleisch insgesamt;Anfangsbestand;2009;-;
Fleisch insgesamt;Anfangsbestand;2011;-;
Fleisch insgesamt;Anfangsbestand;2012;-;
Fleisch insgesamt;Anfangsbestand;2013;-;
Fleisch insgesamt;Anfangsbestand;2014;-;
Fleisch insgesamt;Anfangsbestand;2015;-;
Fleisch insgesamt;Anfangsbestand;2016;-;
Fleisch insgesamt;Anfangsbestand;2017;-;
Fleisch insgesamt;Anfangsbestand;2018;-;
Fleisch insgesamt;Endbestand;2019;-;
Fleisch insgesamt;Endbestand;2020;-;
Fleisch insgesamt;Endbestand;2021;-;
Fleisch insgesamt;Endbestand;2022;-;
Fleisch insgesamt;Endbestand;2023;-;
Fleisch insgesamt;Endbestand;1994;-;
Fleisch insgesamt;Endbestand;1995;-;
Fleisch insgesamt;Endbestand;1996;10728;
Fleisch insgesamt;Endbestand;1998;9129;
Fleisch insgesamt;Endbestand;1999;422;
Fleisch insgesamt;Endbestand;1997;14069;
Fleisch insgesamt;Endbestand;2000;167;
Fleisch insgesamt;Endbestand;2001;2749;
Fleisch insgesamt;Endbestand;2002;1158;
Fleisch insgesamt;Endbestand;2003;-;
Fleisch insgesamt;Endbestand;2004;-;
Fleisch insgesamt;Endbestand;2006;-;
Fleisch insgesamt;Endbestand;2005;-;
Fleisch insgesamt;Endbestand;2007;3000;
Fleisch insgesamt;Endbestand;2008;-;
Fleisch insgesamt;Endbestand;2010;-;
Fleisch insgesamt;Endbestand;2009;-;
Fleisch insgesamt;Endbestand;2011;-;
Fleisch insgesamt;Endbestand;2012;-;
Fleisch insgesamt;Endbestand;2013;-;
Fleisch insgesamt;Endbestand;2014;-;
Fleisch insgesamt;Endbestand;2015;-;
Fleisch insgesamt;Endbestand;2016;-;
Fleisch insgesamt;Endbestand;2017;-;
Fleisch insgesamt;Endbestand;2018;-;
Fleisch insgesamt;Einfuhr;2019;377417;
Fleisch insgesamt;Einfuhr;2020;336019;
Fleisch insgesamt;Einfuhr;2021;354691;
Fleisch insgesamt;Einfuhr;2022;364325;
Fleisch insgesamt;Einfuhr;2023;375231;
Fleisch insgesamt;Einfuhr;1994;31847;
Fleisch insgesamt;Einfuhr;1995;102384;
Fleisch insgesamt;Einfuhr;1996;110773;
Fleisch insgesamt;Einfuhr;1998;123529;
Fleisch insgesamt;Einfuhr;1999;150333;
Fleisch insgesamt;Einfuhr;1997;111585;
Fleisch insgesamt;Einfuhr;2000;169339;
Fleisch insgesamt;Einfuhr;2001;156201;
Fleisch insgesamt;Einfuhr;2002;159302;
Fleisch insgesamt;Einfuhr;2003;159592;
Fleisch insgesamt;Einfuhr;2004;211656;
Fleisch insgesamt;Einfuhr;2006;258123;
Fleisch insgesamt;Einfuhr;2005;247808;
Fleisch insgesamt;Einfuhr;2007;295913;
Fleisch insgesamt;Einfuhr;2008;319952;
Fleisch insgesamt;Einfuhr;2010;351548;
Fleisch insgesamt;Einfuhr;2009;341513;
Fleisch insgesamt;Einfuhr;2011;370637;
Fleisch insgesamt;Einfuhr;2012;368720;
Fleisch insgesamt;Einfuhr;2013;361327;
Fleisch insgesamt;Einfuhr;2014;404402;
Fleisch insgesamt;Einfuhr;2015;378081;
Fleisch insgesamt;Einfuhr;2016;384850;
Fleisch insgesamt;Einfuhr;2017;380134;
Fleisch insgesamt;Einfuhr;2018;368684;
Fleisch insgesamt;Ausfuhr;2019;517512;
Fleisch insgesamt;Ausfuhr;2020;498590;
Fleisch insgesamt;Ausfuhr;2021;532449;
Fleisch insgesamt;Ausfuhr;2022;502743;
Fleisch insgesamt;Ausfuhr;2023;493457;
Fleisch insgesamt;Ausfuhr;1994;82887;
Fleisch insgesamt;Ausfuhr;1995;114454;
Fleisch insgesamt;Ausfuhr;1996;149310;
Fleisch insgesamt;Ausfuhr;1998;200938;
Fleisch insgesamt;Ausfuhr;1999;244509;
Fleisch insgesamt;Ausfuhr;1997;168182;
Fleisch insgesamt;Ausfuhr;2000;217623;
Fleisch insgesamt;Ausfuhr;2001;240756;
Fleisch insgesamt;Ausfuhr;2002;268958;
Fleisch insgesamt;Ausfuhr;2003;265010;
Fleisch insgesamt;Ausfuhr;2004;310454;
Fleisch insgesamt;Ausfuhr;2006;359276;
Fleisch insgesamt;Ausfuhr;2005;333529;
Fleisch insgesamt;Ausfuhr;2007;408899;
Fleisch insgesamt;Ausfuhr;2008;458812;
Fleisch insgesamt;Ausfuhr;2010;491246;
Fleisch insgesamt;Ausfuhr;2009;466422;
Fleisch insgesamt;Ausfuhr;2011;512119;
Fleisch insgesamt;Ausfuhr;2012;495748;
Fleisch insgesamt;Ausfuhr;2013;493897;
Fleisch insgesamt;Ausfuhr;2014;541687;
Fleisch insgesamt;Ausfuhr;2015;522050;
Fleisch insgesamt;Ausfuhr;2016;513267;
Fleisch insgesamt;Ausfuhr;2017;511912;
Fleisch insgesamt;Ausfuhr;2018;502660;
Fleisch insgesamt;INLANDSVERBRAUCH;2019;833502;
Fleisch insgesamt;INLANDSVERBRAUCH;2020;807974;
Fleisch insgesamt;INLANDSVERBRAUCH;2021;792839;
Fleisch insgesamt;INLANDSVERBRAUCH;2022;799101;
Fleisch insgesamt;INLANDSVERBRAUCH;2023;791118;
Fleisch insgesamt;INLANDSVERBRAUCH;1994;777172;
Fleisch insgesamt;INLANDSVERBRAUCH;1995;795999;
Fleisch insgesamt;INLANDSVERBRAUCH;1996;802881;
