STATcube

"Versorgungsbilanz für Milch ab 1995 in Tonnen (G Q)"
"Produkte nach Werte nach Jahr"
"Zählt: ERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERWENDUNG, Futter, Verarbeitung, Verluste, NAHRUNGSVERBRAUCH, Nahrungsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %"

"Produkte";"Werte";"Jahr";"Anzahl";"Anmerkungen";
"Konsummilch";"Einfuhr";"2007";75670;
"Konsummilch";"Einfuhr";"2008";88234;
"Konsummilch";"Einfuhr";"2009";87016;
"Konsummilch";"Einfuhr";"2010";104405;
"Konsummilch";"Einfuhr";"2011";115815;
"Konsummilch";"Einfuhr";"2012";111650;
"Konsummilch";"Einfuhr";"2013";83755;
"Konsummilch";"Einfuhr";"2014";98420;
"Konsummilch";"Einfuhr";"2015";85055;
"Konsummilch";"Einfuhr";"2016";69743;
"Konsummilch";"Einfuhr";"2017";66998;
"Konsummilch";"Einfuhr";"2018";65170;
"Konsummilch";"Ausfuhr";"2019";532532;
"Konsummilch";"Ausfuhr";"2020";583212;
"Konsummilch";"Ausfuhr";"2021";562341;
"Konsummilch";"Ausfuhr";"2022";566460;
"Konsummilch";"Ausfuhr";"2023";578115;
"Konsummilch";"Ausfuhr";"1995";15673;
"Konsummilch";"Ausfuhr";"1996";17615;
"Konsummilch";"Ausfuhr";"1997";39462;
"Konsummilch";"Ausfuhr";"1998";60771;
"Konsummilch";"Ausfuhr";"1999";68641;
"Konsummilch";"Ausfuhr";"2000";91323;
"Konsummilch";"Ausfuhr";"2001";116691;
"Konsummilch";"Ausfuhr";"2002";151602;
"Konsummilch";"Ausfuhr";"2003";186728;
"Konsummilch";"Ausfuhr";"2004";223995;
"Konsummilch";"Ausfuhr";"2005";247574;
"Konsummilch";"Ausfuhr";"2006";320312;
"Konsummilch";"Ausfuhr";"2007";395579;
"Konsummilch";"Ausfuhr";"2008";447109;
"Konsummilch";"Ausfuhr";"2009";453666;
"Konsummilch";"Ausfuhr";"2010";486288;
"Konsummilch";"Ausfuhr";"2011";498116;
"Konsummilch";"Ausfuhr";"2012";524231;
"Konsummilch";"Ausfuhr";"2013";523917;
"Konsummilch";"Ausfuhr";"2014";491603;
"Konsummilch";"Ausfuhr";"2015";493735;
"Konsummilch";"Ausfuhr";"2016";522904;
"Konsummilch";"Ausfuhr";"2017";512935;
"Konsummilch";"Ausfuhr";"2018";519595;
"Konsummilch";"INLANDSVERWENDUNG";"2019";660228;
"Konsummilch";"INLANDSVERWENDUNG";"2020";669111;
"Konsummilch";"INLANDSVERWENDUNG";"2021";628034;
"Konsummilch";"INLANDSVERWENDUNG";"2022";637528;
"Konsummilch";"INLANDSVERWENDUNG";"2023";610852;
"Konsummilch";"INLANDSVERWENDUNG";"1995";578368;
"Konsummilch";"INLANDSVERWENDUNG";"1996";586391;
"Konsummilch";"INLANDSVERWENDUNG";"1997";591747;
"Konsummilch";"INLANDSVERWENDUNG";"1998";599556;
"Konsummilch";"INLANDSVERWENDUNG";"1999";602454;
"Konsummilch";"INLANDSVERWENDUNG";"2000";607761;
