"Header & Timestamp";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66"
"2020-10";"64808,421";"2612914,467";"1,346";"45204,575";"556971,316";"368191,613";"515146,54";"101682,098";"25927,6";"228046,762";"1841170,504";"1820238,239";"2378488,893";"1050666,086";"5676598,903";"5763913,741";"4978257,449";"64409,769";"586943,675";"32072,016";"1264230,536";"6483,296";"558,765";"0";"24923,502";"1907553,077";"1915211,79";"5331976,287";"34420,672";"3279354,2";"5012678,122";"254489,745";"5267167,866";"431937,454";"2981893,355";"1114172,649";"4096066,004";"13623,586";"174433,299";"55516,67";"836918,297";"1080491,852";"263144,108";"112964,798";"68327,269";"1524928,027";"706209,237";"113053,959";"0,352";"819263,548";"6442296,143";"2038,564";"5656020,544";"160428,813";"267950,618";"6084399,975";"1915211,79";"1841170,504";"431937,454";"6516337,429";"211032,325";"3,584";"49769,525";"2338,674";"603404,462";"63506,563"
"2020-11";"68487,621";"2189797,758";"1,116";"5388,9";"512646,77";"240291,079";"520993,29";"102452,867";"24603,2";"372233,502";"1778609,608";"1755022,377";"1811214,06";"1115945,092";"5050195,742";"5754875,148";"5094842,615";"63819,903";"982002,95";"80421,567";"1387730,97";"9251,212";"345,808";"0";"4717,49";"2459701,783";"2464469,997";"5465380,758";"32884,929";"3279354,2";"5127727,544";"269165,593";"5396893,137";"289494,39";"2260964,954";"1162614,06";"3423579,014";"9191,151";"149755,605";"48957,257";"1247016,437";"1454920,45";"266231,399";"102278,716";"72085,724";"1895516,289";"372982,149";"86581,635";"8,194";"459571,978";"5780113,174";"1445,893";"5735312,943";"159000,485";"282165,745";"6176479,173";"2464469,997";"1778609,608";"289494,39";"6465973,563";"215733,804";"3,687";"48098,692";"2395,216";"449750,894";"46668,968"
"2020-12";"72450,933";"1767232,668";"0,943";"3689,5";"565637,99";"354749,837";"457739,564";"94794,055";"26220,2";"207463,426";"1710294,572";"1685304,628";"1493742,88";"977821,8";"5030825,833";"6110781,813";"5338453,697";"63819,903";"950993,775";"62082,781";"1609850,843";"45623,98";"857,451";"0";"99677,414";"2765260,608";"2769086,244";"5732708,739";"30754,761";"3279354,2";"5369208,459";"291049,348";"5660257,806";"378073,074";"1841732,817";"1012795,576";"2854528,393";"16671,716";"163285,31";"50952,674";"1544935,519";"1775845,219";"276595,677";"150803,341";"71454,901";"2274699,138";"619981,506";"55839,984";"10,153";"675831,643";"5805636,542";"577,368";"6014280,764";"167902,782";"304171,594";"6486355,14";"2769086,244";"1710294,572";"378073,074";"6864428,214";"223352,955";"3,58";"50683,028";"2556,114";"347989,937";"34973,776"
"2021-01";"67795,418";"1265110,451";"0,91";"4155,625";"630552,244";"552408,531";"160101,094";"112203,967";"26124,8";"51853,055";"1537399,316";"1514660,603";"1375463,776";"1012428,775";"4807635,384";"6183701,825";"5391456,962";"63819,617";"929768,275";"48398,04";"1412970,177";"169003,644";"274,455";"0";"332770,525";"2890727,044";"2893185,116";"5795922,905";"36651,894";"3247786,2";"5428108,856";"300018,631";"5728127,487";"387778,92";"1644264,216";"1038788,096";"2683052,312";"14193,101";"161614,986";"48150,529";"1566732,167";"1790690,783";"273431,292";"127262,144";"72396,947";"2263781,166";"574505,457";"78680,158";"10,586";"653196,201";"5600730,177";"700,498";"6085840,283";"168167,766";"314729,008";"6568737,057";"2893185,116";"1537399,316";"387778,92";"6956515,977";"220834,183";"3,579";"50007,161";"2586,369";"268800,44";"26359,321"
"2021-02";"64568,76";"853868,573";"1,305";"29294,55";"532314,584";"347553,92";"247312,246";"95044,641";"23506,3";"73513,226";"1348539,467";"1326873,051";"1775241,564";"892073,368";"4761868,583";"5522611,996";"4864647,655";"63819,617";"575815,1";"41615,657";"1242691,459";"39868,602";"410,633";"0";"193441,011";"2087616,464";"2093842,462";"5219111,009";"33196,256";"3247786,2";"4897843,91";"256698,338";"5154542,249";"303500,987";"2085289,778";"921548,914";"3006838,692";"13395,583";"156680,305";"44063,561";"1236881,149";"1451020,598";"243652,221";"114426,035";"64797,334";"1873896,188";"464677,136";"138083,458";"8,275";"602768,869";"5484750,494";"1246,745";"5502599,539";"154749,782";"269203,181";"5926552,502";"2093842,462";"1348539,467";"303500,987";"6230053,489";"195881,671";"3,56";"45348,273";"2418,717";"310048,214";"29475,546"
"2021-03";"61905,709";"517365,606";"0,866";"2171,9";"488981,048";"276309,596";"226948,536";"103331,398";"25827,8";"174227,326";"1297797,604";"1272973,819";"1577562,579";"799171,283";"4610976,883";"5902024,338";"5259781,168";"63819,617";"867069,6";"81969,506";"1562422,177";"20323,024";"562,524";"0";"35674,901";"2564021,274";"2568021,732";"5605141,823";"34836,482";"3247786,2";"5294617,651";"248618,464";"5543236,114";"296882,515";"1898244,179";"829694,387";"2727938,566";"15181,288";"179360,525";"50787,738";"1206875,501";"1452205,052";"272845,708";"111453,926";"57931,614";"1894436,3";"599568,393";"197299,901";"2,223";"796870,517";"5420302,376";"1056,993";"5974600,926";"157705,011";"261338,052";"6393643,989";"2568021,732";"1297797,604";"296882,515";"6690526,504";"219262,425";"3,579";"50766,195";"2813,509";"320681,6";"30523,104"
"2021-04";"58098,19";"448667,042";"0,787";"11179,575";"220977,101";"398367,796";"230924,02";"78466,087";"24971,4";"561734,99";"1526620,969";"1503820,701";"1709560,458";"722970,968";"4636491,288";"5474052,249";"4738412,643";"63819,617";"854128,85";"48807,843";"1405865,723";"31648,914";"4135,367";"0";"1710,184";"2341381,662";"2346296,881";"5057877,787";"33859,351";"3247786,2";"4772271,995";"227507,603";"4999779,597";"416174,462";"2128315,601";"763273,51";"2891589,111";"8294,11";"163010,684";"33498,359";"932269,027";"1137072,18";"261687,938";"111630,782";"70973,805";"1581364,705";"728681,569";"232537,555";"1,085";"961220,209";"5435067,224";"893,199";"5453521,338";"148317,308";"236730,028";"5838568,674";"2346296,881";"1526620,969";"416174,462";"6254743,136";"211684,1";"6,958";"47670,661";"2326,219";"418755,143";"40302,542"
"2021-05";"50453,401";"628120,356";"1,023";"98104,825";"188733,026";"711272,739";"374083,748";"102428,809";"25638,1";"263236,553";"1763497,8";"1742329,041";"2779147,727";"1122742,048";"5925017,122";"5435695,213";"4609966,512";"63819,617";"389207,9";"34090,843";"796260,68";"16712,036";"1021,202";"0,1";"24423,606";"1253007,132";"1261716,367";"4931625,197";"50235,894";"3247786,2";"4660202,406";"220969,39";"4881171,796";"504070,016";"3471626,288";"1190403,625";"4662029,913";"12619,321";"190791,339";"54927,091";"376927,502";"635265,253";"262500,528";"111694,638";"67131,435";"1076591,854";"783613,049";"238078,979";"0";"1021692,028";"6762007,389";"1693,594";"5363576,118";"160501,941";"232077,881";"5756155,94";"1261716,367";"1763497,8";"504070,016";"6260225,956";"210648,173";"128,055";"49343,023";"2381,277";"692478,561";"67661,577"
"2021-06";"51200,917";"1551427,108";"1,054";"27781,025";"180295,17";"866337,079";"260439,186";"113126,757";"24654,7";"349346,203";"1821980,12";"1804717,594";"2782894,2";"1583915,244";"5805083,464";"5211205,868";"4562398,64";"63819,617";"427732,125";"180344,481";"578067,886";"29403,834";"303,495";"0,1";"9250,177";"1210839,998";"1225102,098";"4890214,3";"50162,876";"3247786,2";"4612561,516";"226451,867";"4839013,383";"320991,568";"3415289,57";"1647121,245";"5062410,815";"11594,229";"179649,107";"43186,923";"226914,951";"461345,21";"219159,008";"108118,951";"59476,288";"848099,457";"351195,489";"324982,456";"0";"676177,945";"6590388,263";"3700,046";"5273860,617";"156088,642";"242569,414";"5672518,673";"1225102,098";"1821980,12";"320991,568";"5993510,241";"172635,641";"3,758";"44183,113";"2336,496";"632395,37";"63206,001"
"2021-07";"46881,112";"2351849,197";"1,014";"3240,4";"133462,566";"695146,318";"403388,216";"120927,526";"25675,1";"492740,759";"1874580,885";"1858645,813";"2592810,181";"1507390,413";"5568306,057";"5439235,122";"4667108,435";"63730,297";"835431,21";"189491,054";"694760,175";"22446,83";"180,365";"0";"1054,373";"1729574,878";"1743364,007";"5010380,433";"49591,929";"3247786,2";"4716700,364";"246798,957";"4963499,321";"428854,689";"3125866,004";"1560650,965";"4686516,969";"7767,269";"147608,76";"54558,262";"255603,329";"465537,62";"242108,19";"90186,855";"61103,237";"858935,902";"491133,479";"296926,459";"0";"788059,938";"6336685,743";"3172,934";"5362509,446";"152329,411";"261775,319";"5776614,176";"1743364,007";"1874580,885";"428854,689";"6205468,865";"194571,297";"3,765";"45178,547";"2354,581";"533055,823";"53260,552"
"2021-08";"49788,123";"2508189,336";"1,212";"17817,7";"413576,027";"654355,365";"441730,96";"123989,235";"25691,4";"445333,175";"2122493,862";"2105788,261";"2721647,026";"1739875,031";"5842137,436";"5269839,137";"4504767,108";"63725,406";"821550,66";"21055,971";"687633,691";"13568,49";"144,333";"0";"1556,766";"1533489,962";"1545509,911";"4847711,257";"50276,489";"3247786,2";"4555043,596";"242879,537";"4797923,134";"422127,88";"3321953,495";"1799532,668";"5121486,163";"4827,344";"181309,827";"56063,046";"212036,318";"454236,535";"235270,154";"111514,167";"61130,966";"862151,822";"376665,936";"248820,841";"0,046";"625486,823";"6612404,109";"3279,301";"5197065,01";"158186,827";"258040,441";"5613292,278";"1545509,911";"2122493,862";"422127,88";"6035420,158";"188765,479";"3,765";"44256,508";"2244,402";"600306,469";"59657,637"
"2021-09";"36143,084";"2479386,671";"0,932";"1115,3";"201035,878";"472796,274";"84268,528";"123691,744";"24800,4";"508957,083";"1416665,207";"1399166,578";"1854846,843";"1133528,279";"4220169,406";"5384778,877";"4546272,056";"63721,8";"1304432,137";"89697,445";"996476,592";"176147,276";"472,872";"1,1";"4222,303";"2563776,049";"2571449,725";"4868798,422";"41296,207";"3247786,2";"4587568,263";"245087,075";"4832655,338";"515980,455";"2265761,188";"1174646,842";"3440408,03";"2829,751";"156459,418";"55375,031";"343466,413";"558130,613";"227065,85";"109348,39";"59904,037";"954448,89";"344815,511";"255988,885";"0,519";"600804,915";"4998142,255";"2480,42";"5247608,393";"131500,881";"257837,044";"5636946,318";"2571449,725";"1416665,207";"515980,455";"6152926,773";"180975,787";"3,758";"43673,653";"2412,652";"410914,345";"41118,563"
"2021-10";"50861,085";"2482510,538";"0,804";"0";"102395,381";"379856,127";"311136,11";"109932,444";"25684,6";"558449,863";"1487454,525";"1477255,439";"1442928,106";"930758,707";"4475407,42";"5884705,458";"4903671,931";"63721,8";"1590758,607";"139024,481";"1126988,236";"34722,414";"424,867";"0";"3146,674";"2886553,477";"2895065,279";"5266256,476";"39423,586";"3247786,2";"4943095,516";"272299,874";"5215395,391";"618448,982";"1758313,461";"962758,912";"2721072,373";"5965,301";"169774,692";"51689,124";"1021869,343";"1249298,46";"259082,538";"113286,113";"59990,595";"1681657,706";"666773,043";"195622,139";"7,57";"862402,752";"5267127,692";"1994,861";"5625439,828";"147682,716";"283166,92";"6056289,464";"2895065,279";"1487454,525";"618448,982";"6674738,446";"210823,388";"3,797";"45695,586";"2559,767";"315385,355";"32000,205"
"2021-11";"66465,017";"2056229,074";"0,792";"204,4";"262469,181";"395620,032";"329920,778";"82569,236";"24415";"316816,676";"1412015,303";"1402147,065";"1283065,364";"1129802,311";"5055186,266";"6155770,965";"5244705,613";"63721,8";"1267216,56";"90626,016";"1079727,184";"44830,336";"2020,122";"0";"27224,913";"2502731,764";"2511645,131";"5628197,401";"35071,625";"3247786,2";"5279777,238";"281955,146";"5561732,384";"527573,564";"1576699,015";"1158231,066";"2734930,081";"5366,171";"167187,446";"64716,404";"1726119,138";"1963389,159";"258535,607";"109174,293";"69852,329";"2400951,388";"612704,737";"106054,172";"0,24";"718759,149";"5855047,369";"406,751";"5974483,697";"157605,704";"295014,232";"6427103,633";"2511645,131";"1412015,303";"527573,564";"6954677,197";"211830,123";"0,764";"44077,508";"2627,212";"293633,651";"28428,755"
"2021-12";"68191,141";"1876265,179";"0,937";"1934";"458833,12";"331428,2";"184802,324";"92244,022";"25818,6";"188931,177";"1283991,443";"1272312,945";"1489608,022";"933404,218";"5131119,878";"6631477,203";"5541738,334";"63721,8";"1054190,751";"89662,305";"1443922,044";"115905,962";"2486,465";"0";"74826,093";"2772670,27";"2780993,62";"5957441,048";"35369,843";"3247786,2";"5577108,177";"312141,73";"5889249,907";"674036,155";"1767781,424";"960453,519";"2728234,943";"7063,159";"165472";"65138,573";"1645656,767";"1883330,499";"269644,383";"119430,757";"81801,736";"2354207,375";"743431,617";"85339,982";"0,419";"828772,018";"5912133,653";"919,317";"6246151,506";"164534,396";"324413,773";"6735099,675";"2780993,62";"1283991,443";"674036,155";"7409135,83";"220121,827";"4,149";"47187,608";"2330,799";"278173,402";"27049,301"
"2022-01";"72586,27";"1441638,91";"1,084";"926,975";"551803,011";"383786,473";"421186,546";"125413,762";"25721,8";"385057,021";"1893895,588";"1876482,833";"1620847,841";"1064919,677";"5815069,98";"6575801,386";"5611095,565";;"1072621,341";"84109,647";"1431756,048";"27223,794";"1544,746";"0";"28572,382";"2637214,239";"2645827,958";"6031003,108";"35369,245";"3247786,2";"5646464,811";"311952,028";"5958416,838";"544798,278";"1913643,195";"1092315,69";"3005958,885";"6190,721";"167511,439";"58538,114";"1697330,718";"1929570,992";"277416,699";"118060,103";"71929,34";"2396977,134";"1066722,904";"117165,963";"0";"1183888,867";"6586824,886";"0";"6303438,167";"166746,063";"323774,748";"6793958,978";"2645827,958";"1893895,588";"544798,278";"7338757,256";"220883,805";"4,522";"48072,812";"8455,56";"292795,354";"27396,013"
"2022-02";"65405,866";"1291379,105";"1,071";"80,8";"573020,075";"193711,693";"507070,168";"90430,186";"23204,2";"509536,825";"1897053,947";"1878568,088";"1456454,018";"726921,374";"4938269,579";"5941132,902";"5024727,782";;"1032039,256";"93019,479";"1753408,279";"8043,712";"332,542";"0";"1757,788";"2881431,411";"2888601,056";"5396309,214";"30141,822";"3247786,2";"5054869,604";"276033,744";"5330903,348";"544823,688";"1697391,684";"748999,796";"2446391,48";"3551,926";"148675,503";"52882,149";"1360606,367";"1565715,945";"260239,368";"107482,213";"68859,393";"2002296,919";"1019787,473";"180391,181";"0";"1200178,654";"5648867,053";"0";"5655812,225";"153279,695";"286498,554";"6095590,474";"2888601,056";"1897053,947";"544823,688";"6640414,162";"207733,509";"4,499";"44809,647";"7691,713";"240937,666";"22078,422"
"2022-03";"67975,036";"846848,448";"0,781";"52,8";"698764,347";"357145,63";"272406,792";"120044,314";"25487,7";"335603,405";"1809504,988";"1795915,864";"1421800,613";"1052344,735";"5080211,368";"6144724,149";"5294666,773";;"1232665,496";"40445,163";"1501126,516";"73313,21";"678,842";"0,1";"22762,615";"2860428,645";"2870991,942";"5673146,769";"33431,609";"3247786,2";"5328098,381";"277073,351";"5605171,733";"471577,38";"1718029,401";"1080191,468";"2798220,869";"6206,645";"172825,377";"61276,226";"1567708,768";"1808017,016";"291731,257";"123739,27";"63986,358";"2287473,901";"543154,46";"326601,727";"0,001";"869756,188";"5955450,958";"0";"6093877,269";"162821,894";"288661,369";"6545360,532";"2870991,942";"1809504,988";"471577,38";"7016937,912";"234196,861";"4,521";"48930,879";"8598,996";"296228,788";"27846,733"
"2022-04";"56484,307";"658757,536";"0,881";"3934,3";"548091,82";"406509,374";"335024,12";"127189,466";"24735";"384439,094";"1829923,174";"1812053,549";"1897484,917";"1035824,003";"5143902,857";"5558848,922";"4706093,982";;"940379,179";"65714,058";"1165351,569";"41842,234";"1266,497";"0";"19844,431";"2226999,614";"2234397,968";"5048607,32";"37028,54";"3247786,2";"4743122,522";"249000,491";"4992123,013";"510241,602";"2383141,173";"1082088,399";"3465229,572";"6082,397";"165860,917";"43718,918";"800357,146";"1016019,378";"270859,318";"124269,299";"62953,137";"1474101,132";"737312,888";"302834,999";"0,009";"1040147,896";"5979478,6";"0";"5461183,937";"152435,059";"260092,796";"5873711,792";"2234397,968";"1829923,174";"510241,602";"6383953,394";"216359,677";"4,507";"46090,567";"8404,567";"485656,256";"46264,396"
"2022-05";"54796,322";"1374066,534";"0,907";"7461,3";"205489,781";"609958,357";"384802,93";"160145,577";"22774,3";"571392,471";"1962024,716";"1947561,971";"2468975,601";"1213293,831";"5599109,272";"5400474,623";"4543714,813";;"848826,646";"128659,401";"743899,004";"35604,68";"403,3";"0";"1245,13";"1748927,322";"1758638,161";"4879604,156";"39124,665";"3247786,2";"4582839,477";"241968,356";"4824807,834";"520870,467";"3116732,76";"1275637,197";"4392369,957";"6305,704";"159291,945";"19406,86";"592525,375";"777529,884";"278670,458";"107278,507";"74869,081";"1238347,93";"388864,569";"377365,9";"0,81";"766231,279";"6396949,166";"0";"5266631,331";"153047,243";"253013,57";"5672692,144";"1758638,161";"1962024,716";"520870,467";"6193562,611";"223790,664";"4,522";"46102,003";"8773,269";"647757,159";"62343,366"
"2022-06";"48368,795";"1965219,596";"0,862";"6940,887";"204086,261";"695619,551";"254093,086";"168183,106";"24522,7";"426788,507";"1780234,098";"1770516,56";"2277113,437";"1396621,356";"5281573,705";"5190836,031";"4380415,399";;"818449,018";"143362,57";"653725,531";"67833,458";"17,394";"0";"4629,622";"1679778,886";"1688017,593";"4705970,241";"38411,799";"3247786,2";"4418827,197";"238774,248";"4657601,446";"484865,79";"2843557,459";"1451614,108";"4295171,567";"4797,941";"174802,656";"32801,074";"258505,021";"470906,692";"243929,817";"115339,226";"69584,648";"899760,383";"486555,315";"411472,138";"0,882";"898028,335";"6092960,285";"0";"5120536,275";"144787,376";"250554,339";"5515877,99";"1688017,593";"1780234,098";"484865,79";"6000743,78";"192082,049";"4,514";"43547,903";"8295,351";"566444,022";"54992,752"
"2022-07";"43302,527";"2493763,438";"0,719";"109,277";"398218,431";"442444,043";"169982,05";"158847,45";"25449,3";"329929,58";"1524980,131";"1512180,857";"1810694,908";"1115073,599";"4553171,353";"5392285,767";"4471202,311";;"1132373,435";"78449,133";"968565,083";"153559,838";"900,403";"0";"24878,138";"2351295,271";"2358726,03";"4787723,696";"36238,796";"3247786,2";"4507441,108";"236980,062";"4744421,169";"604562,071";"2278638,274";"1160449,01";"3439087,284";"5529,554";"171014,975";"49722,703";"286956,541";"513223,773";"261619,632";"125376,214";"61895,659";"962115,278";"521539,139";"431993,282";"0,34";"953532,761";"5354735,323";"0";"5198730,481";"137147,92";"248040,75";"5583919,151";"2358726,03";"1524980,131";"604562,071";"6188481,222";"207622,271";"4,522";"45131,756";"8861,083";"467943,366";"45375,411"
"2022-08";"40483,594";"2688673,662";"0,702";"292,371";"410249,637";"427810,337";"167394,044";"161032,143";"25431,7";"150381,858";"1342592,09";"1333346,616";"1562100,445";"1209586,937";"4208801,436";"5229187,152";"4404315,739";;"1095765,916";"94909,324";"985238,507";"113769,564";"1317,986";"0";"72475,016";"2353732,332";"2363476,313";"4704847,37";"33927,494";"3260708,8";"4438243,233";"226120,543";"4664363,776";"524339,782";"1928130,312";"1245414,173";"3173544,485";"6679,933";"159740,876";"57064,014";"274359,689";"497844,512";"244820,877";"123197,155";"68855,585";"934718,129";"447626,735";"378698,616";"0,082";"826325,433";"4934588,047";"0";"5061871,187";"132748,788";"236512,513";"5431132,488";"2363476,313";"1342592,09";"524339,782";"5955472,27";"191561,412";"4,409";"44885,348";"8369,708";"366029,867";"35827,236"
"2022-09";"42921,211";"2735131,453";"0,865";"375,224";"150812,36";"440888,944";"307495,758";"86110,004";"24042,1";"360286,975";"1370011,365";"1360761,042";"1726728,879";"1137530,004";"4716988,514";"5258409,61";"4450221,553";;"1026331,711";"58380,955";"760483,613";"49067,526";"261,99";"0";"15556,063";"1902182,138";"1910081,858";"4755443,38";"35977,426";"3260708,8";"4486198,978";"226323,19";"4712522,169";"502966,23";"2156164,588";"1179124,12";"3335288,708";"7188,423";"146108,39";"51657,511";"716817,911";"921772,235";"257095,556";"112391,676";"64128,977";"1355388,444";"448690,764";"279424,631";"0,034";"728115,429";"5418792,581";"0";"5081793,303";"136387,094";"237716,447";"5455896,844";"1910081,858";"1370011,365";"502966,23";"5958863,074";"204960,046";"4,514";"43999,495";"8131,501";"429435,709";"41594,116"
"2022-10";"49599,094";"2802248,985";"0,989";"622,71";"97327,846";"381790,114";"338881,606";"33140,383";"25541,1";"669240,134";"1546543,893";"1533125,313";"1791687,986";"1012752,471";"4729701,352";"5414854,21";"4522639,424";;"1061060,123";"192669,491";"940783,426";"30806,018";"882,13";"0";"802,617";"2218278,171";"2227003,805";"4863223,601";"35778,241";"3265708,8";"4558417,664";"255206,842";"4813624,507";"551630,609";"2223637,313";"1054664,976";"3278302,289";"4364,47";"156159,348";"40702,117";"777929,28";"979155,215";"281139,836";"117375,159";"68870,136";"1446540,346";"467176,441";"258430,395";"0";"725606,836";"5450449,471";"0";"5168282,975";"143321,334";"267674,465";"5579278,774";"2227003,805";"1546543,893";"551630,609";"6130909,383";"226099,293";"4,486";"46220,263";"8815,794";"431949,327";"41912,505"
"2022-11";"58463,532";"2599181,01";"0,851";"1491,435";"492312,355";"237122,057";"238796,722";"136651,182";"24881,4";"362921,154";"1494176,305";"1479561,464";"1395103,525";"928983,353";"4517312,341";"5767657,164";"4877918,946";;"1144480,796";"97490,137";"1377209,634";"50034,516";"124,352";"0";"66288,581";"2729906,287";"2735628,016";"5235531,626";"29843,153";"3265708,8";"4907762,1";"269305,995";"5177068,094";"532125,538";"1702666,106";"958141,15";"2660807,256";"6294,717";"141713,237";"74919,444";"1269870,785";"1492798,183";"275747,365";"117516,538";"75412,656";"1961474,742";"456863,488";"147952,032";"0";"604815,52";"5227097,518";"0";"5506823,954";"147678,654";"281921,083";"5936423,691";"2735628,016";"1494176,305";"532125,538";"6468549,229";"222657,291";"4,479";"44505,142";"8580,453";"307562,581";"29157,797"
"2022-12";"60743,288";"2410534,023";"0,904";"14900,785";"498959,017";"469566,069";"174441,476";"132014,623";"25861,7";"123653,5";"1439397,17";"1427995,793";"1407890,104";"926833,632";"4821433,407";"6298022,828";"5241766,119";;"1171354,79";"91154,73";"1301399,301";"105928,832";"1327,677";"0";"242608,847";"2904585,214";"2913774,177";"5639755,509";"33771,07";"3265708,8";"5275537,189";"303475,032";"5579012,221";"658267,319";"1699535,218";"953818,62";"2653353,838";"5488,328";"146069,131";"82754,281";"1394030,697";"1628342,437";"279730,766";"118574,194";"73979,348";"2100626,745";"670847,554";"116629,48";"0";"787477,034";"5541457,617";"0";"5888244,644";"152542,966";"316779,695";"6357567,305";"2913774,177";"1439397,17";"658267,319";"7015834,624";"224992,669";"3,983";"45985,809";"8748,305";"291645,114";"26984,988"
"2023-01";"63221,572";"1857346,727";"0,92";"2541,28";"614098,952";"407446,971";"265798,574";"155985,568";"25947,5";"187735,086";"1659553,931";"1645810,257";"1404318,009";"1132206,267";"4967665,428";"6150757,181";"5264753,871";;"1166904,277";"94929,408";"1327937,898";"75840,286";"124,513";"0";"171342,92";"2828902,01";"2837079,302";"5664700,442";"31889,525";"3265708,8";"5296643,397";"304835,474";"5601478,87";"486056,739";"1659287,731";"1158323,893";"2817611,624";"3130,758";"151177,55";"75598,353";"1148851,753";"1378758,414";"287410,634";"112780,543";"72776,13";"1851725,721";"847187,655";"126262,547";"0";"973450,202";"5642787,547";"0";"5860768,598";"155379,253";"318108,328";"6334256,179";"2837079,302";"1659553,931";"486056,739";"6820312,918";"230362,531";"4,661";"48077,951";"8965,491";"254969,722";"26117,626"
"2023-02";"60717,45";"1427888,913";"1,031";"6971,978";"766193,401";"330368,971";"251191,822";"130613,07";"23330,1";"173277,02";"1681946,362";"1669008,374";"1420106,204";"913182,52";"4787211,998";"5507666,391";"4775612,121";;"889260,688";"31242,838";"1347117,07";"51804,928";"15,319";"0";"75180,767";"2389462,767";"2394621,61";"5130542,263";"28414,029";"3265708,8";"4804026,15";"265798,663";"5069824,813";"377124,128";"1667440,625";"938313,029";"2605753,654";"4224,566";"127355,616";"65859,323";"1142182,051";"1339621,556";"268720,346";"108289,378";"69742,152";"1786373,432";"827516,527";"261928,241";"0,001";"1089444,769";"5481571,855";"0";"5397833,536";"140625,336";"278664,103";"5817122,975";"2394621,61";"1681946,362";"377124,128";"6194247,103";"215352,777";"4,76";"45253,687";"8109,122";"247334,421";"25130,509"
"2023-03";"58231,722";"927431,925";"0,88";"32159,346";"641773,081";"496513,329";"176202,564";"136975,368";"25660,8";"84926,103";"1594210,591";"1578903,828";"1618273,545";"1090738,836";"5113596,001";"5658540,742";"4919414,219";;"708248,332";"59320,151";"1056138,343";"104595,79";"69,788";"0";"202157,219";"2123848,569";"2130529,623";"5269914,682";"34395,324";"3265708,8";"4953809,542";"257873,417";"5211682,96";"388626,06";"1961623,293";"1125410,448";"3087033,741";"5735,224";"180036,522";"72330,475";"888548,507";"1146650,728";"298555,368";"112736,96";"62481,022";"1620424,078";"832496,943";"365534,508";"0,001";"1198031,452";"5905489,271";"0";"5633008,792";"151135,117";"269038,334";"6053182,243";"2130529,623";"1594210,591";"388626,06";"6441808,303";"240198,107";"4,6";"49323,058";"9029,603";"343349,748";"34671,612"
"2023-04";"58045,919";"718739,023";"0,973";"56706,272";"362362,866";"727623,162";"229460,172";"108121,692";"24869,1";"137876,587";"1647019,851";"1633242,105";"2115531,73";"955424,331";"5341735,108";"5153335,551";"4403831,925";;"568047,038";"33381,032";"691568,804";"72194,192";"1047,438";"0";"89864,53";"1444842,548";"1456103,034";"4725949,489";"30692,747";"3265708,8";"4434524,672";"233378,898";"4667903,57";"427386,062";"2574981,015";"1001803,25";"3576784,265";"1859,85";"174393,762";"61560,086";"710551,021";"948364,719";"266127,563";"102921,117";"69864,173";"1387277,572";"716094,204";"406534,574";"0";"1122628,778";"6086690,615";"0";"5082422,809";"142915,018";"243049,909";"5468387,736";"1456103,034";"1647019,851";"427386,062";"5895773,798";"210770,097";"0,987";"46583,415";"8773,064";"459449,285";"46378,919"
"2023-05";"62017,395";"1123270,073";"1,099";"104238,967";"309324,99";"1071304,995";"448765,844";"112392,079";"25671,3";"327000,989";"2398699,164";"2384715,969";"3031394,292";"1390037,9";"6600444,676";"5045531,941";"4206832,639";;"266435,975";"63800,734";"442751,157";"33064,812";"13,747";"0";"37985,968";"829803,234";"844052,393";"4536183,502";"38221,617";"3265708,8";"4245054,255";"229111,851";"4474166,107";"509348,439";"3782208,801";"1467926,21";"5250135,011";"574,218";"183252,582";"56937,915";"333597,18";"574361,895";"278324,049";"113081,491";"75020,177";"1040787,612";"582702,831";"548022,427";"0,009";"1130725,267";"7421647,89";"0";"4958495,984";"159195,951";"239960,745";"5357652,68";"844052,393";"2398699,164";"509348,439";"5867001,119";"221199,118";"1,779";"48092,507";"9030,645";"750814,509";"77888,31"
"2023-06";"45150,259";"1764313,117";"0,866";"82417,712";"271178,617";"988334,208";"181671,524";"112269,652";"24853,4";"121193,143";"1781918,256";"1769765,734";"2367469,691";"1409553,965";"5371842,099";"4747511,084";"4041253,382";;"323418,001";"92484,036";"435208,592";"129541,358";"173,848";"0";"174001,093";"1145434,719";"1154826,928";"4331838,706";"35418,15";"3265708,8";"4076671,532";"210016,915";"4286688,447";"415672,378";"2979193,371";"1473889,132";"4453082,503";"2370,681";"175850,248";"34690,79";"126532,995";"339444,714";"220704,612";"96435,075";"68667,119";"725251,52";"335823,003";"656855,144";"0,006";"992678,153";"6171012,176";"0";"4769487,802";"135894,55";"222866,118";"5128248,47";"1154826,928";"1781918,256";"415672,378";"5543920,848";"166479,344";"1,738";"45508,11";"8715,42";"611723,68";"64335,167"
